Menesis   Likutis        Men. Imoka
1            9935.6         106.07         
2            9870.93        106.07         
3            9806.0         106.07         
4            9740.79        106.07         
5            9675.31        106.07         
6            9609.56        106.07         
7            9543.53        106.07         
8            9477.23        106.07         
9            9410.66        106.07         
10           9343.8         106.07         
11           9276.67        106.07         
12           9209.26        106.07         
13           9141.56        106.07         
14           9073.59        106.07         
15           9005.33        106.07         
16           8936.78        106.07         
17           8867.96        106.07         
18           8798.84        106.07         
19           8729.44        106.07         
20           8659.74        106.07         
21           8589.76        106.07         
22           8519.49        106.07         
23           8448.92        106.07         
24           8378.06        106.07         
25           8306.9         106.07         
26           8235.45        106.07         
27           8163.69        106.07         
28           8091.64        106.07         
29           8019.29        106.07         
30           7946.64        106.07         
31           7873.69        106.07         
32           7800.43        106.07         
33           7726.87        106.07         
34           7652.99        106.07         
35           7578.82        106.07         
36           7504.33        106.07         
37           7429.53        106.07         
38           7354.42        106.07         
39           7279.0         106.07         
40           7203.26        106.07         
41           7127.21        106.07         
42           7050.84        106.07         
43           6974.16        106.07         
44           6897.15        106.07         
45           6819.82        106.07         
46           6742.17        106.07         
47           6664.2         106.07         
48           6585.9         106.07         
49           6507.28        106.07         
50           6428.33        106.07         
51           6349.05        106.07         
52           6269.43        106.07         
53           6189.49        106.07         
54           6109.22        106.07         
55           6028.61        106.07         
56           5947.66        106.07         
57           5866.38        106.07         
58           5784.75        106.07         
59           5702.79        106.07         
60           5620.49        106.07         
61           5537.84        106.07         
62           5454.85        106.07         
63           5371.51        106.07         
64           5287.83        106.07         
65           5203.79        106.07         
66           5119.41        106.07         
67           5034.68        106.07         
68           4949.59        106.07         
69           4864.15        106.07         
70           4778.35        106.07         
71           4692.19        106.07         
72           4605.68        106.07         
73           4518.8         106.07         
74           4431.57        106.07         
75           4343.97        106.07         
76           4256.0         106.07         
77           4167.67        106.07         
78           4078.97        106.07         
79           3989.9         106.07         
80           3900.46        106.07         
81           3810.64        106.07         
82           3720.45        106.07         
83           3629.89        106.07         
84           3538.95        106.07         
85           3447.63        106.07         
86           3355.93        106.07         
87           3263.85        106.07         
88           3171.38        106.07         
89           3078.53        106.07         
90           2985.29        106.07         
91           2891.66        106.07         
92           2797.65        106.07         
93           2703.24        106.07         
94           2608.44        106.07         
95           2513.24        106.07         
96           2417.65        106.07         
97           2321.65        106.07         
98           2225.26        106.07         
99           2128.47        106.07         
100          2031.27        106.07         
101          1933.67        106.07         
102          1835.66        106.07         
103          1737.24        106.07         
104          1638.42        106.07         
105          1539.18        106.07         
106          1439.53        106.07         
107          1339.46        106.07         
108          1238.97        106.07         
109          1138.07        106.07         
110          1036.75        106.07         
111          935.0          106.07         
112          832.83         106.07         
113          730.24         106.07         
114          627.21         106.07         
115          523.76         106.07         
116          419.88         106.07         
117          315.56         106.07         
118          210.81         106.07         
119          105.63         106.07         
120          0.0            106.07         
